http://collection.britishmuseum.org/id/bibliography/7719,"The Normanby Hoard and Other Roman Coin Hoards","Bland, R F",0714108707
http://collection.britishmuseum.org/id/bibliography/8552,"The Normanby hoard and other Roman coin hoards","Burnett, A M",0714108707
http://collection.britishmuseum.org/id/bibliography/8552,"The Normanby hoard and other Roman coin hoards","Bland, R F",0714108707
http://collection.britishmuseum.org/id/bibliography/5620,"The Roman Imperial Coinage, vol. 1","Sutherland, C H V",0907605095
http://collection.britishmuseum.org/id/bibliography/5620,"The Roman Imperial Coinage, vol. 1","Sutherland, C H V, and Carson R. A. G. (eds.)",0907605095
http://collection.britishmuseum.org/id/bibliography/2308,"The Roman Imperial Coinage, vol. 5. Part 1: Valerian I to Florian. Part 2: Probus to Diocletian","Mattingly, Harold (ed.)","0900696591 (Part 1); 0900696605 (Part 2)"
http://collection.britishmuseum.org/id/bibliography/2308,"The Roman Imperial Coinage, vol. 5. Part 1: Valerian I to Florian. Part 2: Probus to Diocletian","Sydenham, Edward A (ed.)","0900696591 (Part 1); 0900696605 (Part 2)"
http://collection.britishmuseum.org/id/bibliography/2308,"The Roman Imperial Coinage, vol. 5. Part 1: Valerian I to Florian. Part 2: Probus to Diocletian","Webb, Percy H","0900696591 (Part 1); 0900696605 (Part 2)"
http://collection.britishmuseum.org/id/bibliography/3189,"The Roman Imperial Coinage, vol. 6: from Diocletian's reform (AD 294) to the death of Maximinus (AD 313)","Sutherland, C H V",0900696001
http://collection.britishmuseum.org/id/bibliography/3189,"The Roman Imperial Coinage, vol. 6: from Diocletian's reform (AD 294) to the death of Maximinus (AD 313)","Carson, R A G (ed.)",0900696001
http://collection.britishmuseum.org/id/bibliography/5591,"The Roman Imperial Coinage, vol. 7: Constantine and Licinius AD 313-337","Carson, R A G (ed.)",0900696621
http://collection.britishmuseum.org/id/bibliography/5591,"The Roman Imperial Coinage, vol. 7: Constantine and Licinius AD 313-337","Sutherland, C H V (ed.)",0900696621
http://collection.britishmuseum.org/id/bibliography/5591,"The Roman Imperial Coinage, vol. 7: Constantine and Licinius AD 313-337","Bruun, Patrick M",0900696621
http://collection.britishmuseum.org/id/bibliography/3191,"The Roman Imperial Coinage, vol. 8: the family of Constantine I, AD 337-364","Kent, J P C",0-900696-85-0
http://collection.britishmuseum.org/id/bibliography/3193,"The Roman Imperial Coinage, vol. 9: Valentinian I - Theodosius I","Mattingly, Harold (ed.)",090069663X
http://collection.britishmuseum.org/id/bibliography/3193,"The Roman Imperial Coinage, vol. 9: Valentinian I - Theodosius I","Carson, R A G (ed.)",090069663X
http://collection.britishmuseum.org/id/bibliography/3193,"The Roman Imperial Coinage, vol. 9: Valentinian I - Theodosius I","Pearce, J W E",090069663X
http://collection.britishmuseum.org/id/bibliography/3193,"The Roman Imperial Coinage, vol. 9: Valentinian I - Theodosius I","Sutherland, C H V (ed.)",090069663X
http://collection.britishmuseum.org/id/bibliography/7140,"The Roman Imperial Coinage, vol.2 part 1: From AD 69 to AD 96: Vespasian to Domitian","Buttrey, T V",1902040848
