CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Contents,Total count,Min. count,Max. count,Approximate
,,,,,,,,9.144,,850,41 AR,41,,,
,,,,,,,,9.145,,,46+ AR,,46,,yes
,,,,,,,,9.146,,,25 AR,25,,,
,,,,,,,,9.148,,91,30+? AR,,30,, yes
,,,,,,,,9.170,,,5AE,5,,,
,,,,,,7.069,8.298,9.179,,,543+ AR,,543,,yes
,,,,,,,,9.180,,162,,,,,
,,,,,,,,9.187,,,17 AR,17,,,
,,,,,,,,9.189,,,109 AR,109,,,
,,,,,,,,9.193,,141,,,,,
,,,,,,,,9.194,,175,572+ AR,,,,
,,,,,,,,9.195,,176,,,572,,yes
,,,,,,,,9.196,,,98 AR,98,,,
,,,,,,,,9.200,,,86AR,86,,,
,,,,,,,,9.201,,,53 AR and AE pot hoard,53,,,
,,,,,,,8.367,9.214,,,115 AE,115,,,
,,,,,,,,9.220,,,204 Ar,204,,,
,,,,,,,,9.221,,,42 AE,42,,,
,,,,,,,,9.222,,,13 AE,13,,,
,,,,,,,,9.235,,232,"c. 1300 AR, pot hoard",1300,,,yes
,,,,,,,,9.236,,,53 AR,53,,,
,,,,,,,8.419,9.238,,,105? AR,105,,,yes
,,,,,,,8.425,9.239,,,19 AR,19,,,
,,,,,,,,9.240,,,143 AR,143,,,
,,,,,,,,9.243,,233,16 AR 42 AE,58,,,
,,,,,,,8.085,9.247,,237,894+ AR,,894,,yes
,,,,,,,,9.248,,,47 + 4 + 2? AR,53,,,yes
,,,,,,,,9.253,,,5+ AR,,5,,yes
,,,,,,,,9.314,,,7AR,7,,,
,,,,,,,,9.319,,,5 AE,5,,,
,,,,,,,,9.333,,1154,19EL,19,,,
,,,,,,,8.600,9.334,,,"10 EL, pot hoard, found in excavation",10,,,
,,,,,,,,9.335,,,17 EL,17,,,
,,,,,,,,9.336,,,19 EL,19,,,
,,,,,,,,9.337,,,12 EL,12,,,
,,,,,,,,9.338,,,"48+ EL, pot hoard",,48,,yes
,,,,,,,,9.339,,1157,9? EL,9,,,yes
,,,,,,,,9.340,,1158,60+ EL,,60,,yes
,,,,,,,,9.341,,,18 EL,18,,,
,,,,,,,,9.342,,,2 AR,2,,,
,,,,,,,,9.343,,1789,"8 AU, 5 AR",13,,,
,,,,,,,,9.344,,1166,20 AR,20,,,
,,,,,,,,9.345,,1169,42+ AR,,42,,yes
,,,,,,,8.019,9.347,,,"CH 8: 68 + AR
2 AR fibulae
ingots, all corroded, many cut",,68,,yes
,,,,,,,8.038,9.348,,1170,20 AR,20,,,
,,,,,,,,9.349,,,32+ AR,,32,,yes
,,,,,,,,9.350,,,4+ AR,,4,,yes
,,,,,,,,9.354,,,350+ AR,,350,,yes
,,,,,,,,9.355,,1482,,,,,
,,,,,,,8.587,9.356,,,"18 AR in a bronze box in excavation, together with gold and silver bullion.",18,,,
,,,,,,,8.587,9.357,,1481,4+ AR,,4,,yes
,,,,,,,8.047,9.358,,,100+ AR,,100,,yes
,,,,,,,,9.359,,,c. 100 AR,100,,,yes
,,,,,,,,9.361,,,6 + AR,,6,,yes
,,,,,,,8.587,9.362,,1483,100 AR with jewelry,100,,,
1.014,,,,,,,8.587,9.363,,,16+ AR,,16,,yes
,,,,,,,8.009|8.587,9.364,,1747,23 AR + ingots and jewelry.,23,,,
,,,,,,,,9.365,,,c. 120 AR and EL,120,,,yes
,,,,,,,,9.370,,,4AR,4,,,
,,,,,,,,9.371,,,499 AR,499,,,
,,,,,,,,9.375,,,AR and AE,,,,
,,,,,,,,9.376,,,12 AR,12,,,
,,,,,,,8.587,9.377,,1256,9+ AR,,9,,yes
,,,,,,,,9.379,,1247,"110 AR, pot hoard in excavations",110,,,
,,,,,,,,9.380,,1197,271 AR,271,,,
,,,,,,,,9.385,,,13+ AR,,13,,yes
,,,,,,,,9.388,,1201,111 AR,111,,,
,,,,,,,8.093,9.389,,,32+ AR,,32,,yes
,,,,,,,8.091,9.390,,,435+AR,,435,,yes
,,,,,,,8.587,9.391,,1259,AR,,,,
,,,,,,,,9.392,,,120+ AR,,120,,yes
,,,,,,,,9.393,,,Hundreds AR,,200,,yes
,,,,,,,,9.394,,,112+ AR,,112,,yes
,,,,,,,,9.401,,1263,8 AR,8,,,
,,,,,,,,9.402,,,350+ AR,,350,,yes
,,,,,,,,9.403,,,12 AR,12,,,
,,,,,,,8.587,9.404,,1500,33 AR,33,,,
,,,,,,,,9.407,,1214,,,,,
,,,,,,,,9.408,,,38 AR,38,,,
,,,,,,,8.587,9.409,,1252,,,,,
,,,,,,,,9.410,,,450 AR,450,,,
,,,,,,,,9.412,,1218,80 AR,80,,,
,,,,,,,,9.415,,,54 AR,54,,,
,,,,,,,,9.416,,,57 + AR,,57,,yes
,,,,,,,,9.417,,,206+ AR,,206,,yes
,,,,,,,,9.418,,1266,,,,,
,,,,,,,,9.420,,,1491 AR,1491,,,
,,,,,,,8.143,9.422,,,150+ AR,,150,,yes
,,,,,,,,9.424,,1211,"1 AR, 65 AE",66,,,
,,,,,,,8.587,9.436,,1515,,,,,
,,,,,,,,9.440,,1504,965+ AR with jewelry,,965,,yes
,,,,,,,8.587,9.450,,1762,,,,,
,,,,,,,,9.454,,,10AR,10,,,
,,,,,,,,9.458,,,5+ EL,,5,,yes
,,,,,,,,9.459,,,4+AE,,4,,yes
,,,,,,,8.189,9.460,,,1400+ AR,,1400,,yes
,,,,,,,8.587,9.462,,1510,118+ AR,,118,,yes
,,,,,,,,9.463,,,275+ AR,,275,,yes
,,,,,,,,9.464,,,80+ AR,,80,,yes
,,,,,,,,9.465,,,171+ AR,,171,,yes
,,,,,,,,9.466,,1471,13 AR,13,,,
,,,,,,,,9.467,,,11 AR,11,,,
,,,,,,,,9.470,,,13 AE in excavations,13,,,
,,,,,,,,9.471,,,185 AR,185,,,
,,,,,,,,9.472,,,25 AR (+5 fakes),25,,,
,,,,,,,,9.473,,,c. 40 AE,40,,,yes
,,3.030,,,,,,9.474,,,71 + 2 AR,73,,,
,,,,,,,,9.475,,,58 AR,58,,,
,,,,,,,,9.477,,,9+AR,,9,,yes
,,,,,,,8.295,9.479,,,550+ AR,,550,,yes
,,,,,,,,9.480,,,19AR,19,,,
,,,,,,,,9.482,,,8+AE,,8,,yes
,,,,,,,,9.483,,,800 AR,800,,,
,,,,,,,8.284,9.486,,,60-65AV,,60,65,yes
,,,,,,,,9.487,,,c. 80 AR,80,,,yes
,,,,,,,,9.488,,,31+ AR,,31,,yes
,,,,,,,,9.489,,,"58 AU, 1 AE",59,,,
,,,,,,,,9.490,,,11 AE in excavations,11,,,
,,,,,,,8.290,9.491,,,CH 8: 26 AR,26,,,
,,,,,,,,9.494,,,300 AE,300,,,
,,,,,,,,9.495,,,5+ AR,,5,,yes
,,,,,,,,9.499,,1299,55 AR,55,,,
,,,,,,,,9.500,,1300,72 AE,72,,,
,,,,,,,,9.501,,,134AR,134,,,
,,,,,,,,9.502,,,27 AE,27,,,
,,,,,,,,9.504,,,16 AE,16,,,
,,,,,,,,9.505,,,5+Ar,,5,,yes
,,,,,,,,9.506,,,40 AR,40,,,
,,,,,,,,9.507,,,105 AR,105,,,
,,,,,,,,9.508,,,33AR,33,,,
,,,,,,,8.427,9.509,,,16 AR,16,,,
,,,,,,,,9.510,,,49 + 42 AR,91,,,
,,,,,,,,9.512,,,c. 140 AR,140,,,yes
1.075,,,,,,,,9.513,,1552,,,,,
,,,4.057,,,,,9.516,,,220 AR,220,,,
,,,,,,,,9.517,,,379+ AR,,379,,yes
,,,,,,,,9.518,,,269+ AR,,269,,yes
,,,,,,,,9.519,,,391 AE,391,,,
,,,,,,,,9.520,,,7+ AE,,7,,yes
,,,,,,,,9.521,,,560+ AR,,560,,yes
,,,,,,,,9.522,,,c. 400 AR,400,,,yes
,,,,,,,,9.524,,,AR,,,,
,,,,,,,,9.525,,,53 AR,53,,,
,,,,,,,8.467,9.526,,,60 AR,60,,,
,,,,,,,,9.527,,,129 AR,129,,,
,,,,,,,,9.528,,1542,c. 200 AR,200,,,yes
1.080,,3.058,,,,,8.442,9.530,,,207+ AR,,207,,yes
,,,,,,,,9.532,,,c. 26 AR,26,,,yes
,,,,,,,,9.535,,,25 AR,25,,,
,,,,,,,,9.536,,,30 (+1) AE,30,,,
,,,,,,,,9.537,,,16+,,16,,yes
,,,,,,,,9.540,,,5 AE,5,,,
,,,,,,,,9.541,,,10+ AR,,10,,yes
,,,,,,,,9.542,,,770 AE,770,,,
,,,,,,,8.474,9.543,,,521 AR,521,,,
,,,,,,,,9.548,,,"1 AR, 46 AE from excavations",47,,,
,,,,,,,,9.551,,,15 AR,15,,,
,,,,,,,,9.552,,,27+ AE,,27,,yes
,,,,,,,,9.553,,,191 AR,191,,,
,,,,,,,,9.555,,1355,"10 AV, 1016 AR",1026,,,
,,,,,,,,9.556,,,37 AR in excavation,37,,,
,,,4.072,,,,,9.557,,,53 AR,53,,,
