CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,,,,8.009,,,,525 BC,525,525,-525,-525
,,,,,,,8.010,,,,525 BC,525,525,-525,-525
,,,,,,,8.011,,,,520 BC,520,520,-520,-520
,,,,,,,8.012,,,,515 BC,515,515,-515,-515
,,,,,,,8.014,,,,510 BC,510,510,-510,-510
,,,,,,,8.190,,,1508,323 - 320 BC,323,320,-323,-320
,,,,,,,8.021,,,1185,500 B.C. c.,500,500,-500,-500
,,,,,,,8.022,,,,500 B.C. c.,500,500,-500,-500
,,,,,,,8.025,,,,500 - 400 BC,500,400,-500,-400
,,,,,,,8.026,,,,500 - 400 BC,500,400,-500,-400
,,,,,,,8.028,,,,500 - 400 BC,500,400,-500,-400
,,,,,,,8.030,,,1221,500 - 400 BC,500,400,-500,-400
,,,,,,,8.032,,,,500 - 400 BC,500,400,-500,-400
,,,,,,,8.033,,,,500 - 400 BC,500,400,-500,-400
,,,,,,,8.036,,,,490 BC,490,490,-490,-490
,,,,,,,8.039,,,,480 BC,480,480,-480,-480
,,,,,,,8.043,,,1277,475 BC,475,475,-475,-475
,,,,,,,8.047,,,,460 BC,460,460,-460,-460
,,,,,,,8.050,,,,450 BC,450,450,-450,-450
,,,,,,,8.054,,,,450 BC,450,450,-450,-450
,,,,,,,8.057,,,,500 - 450 BC,500,450,-500,-450
,,,,,,,8.068,,,,415 BC,415,415,-415,-415
,,,,,,,8.071,,,,400 BC,400,400,-400,-400
,,,,,,,8.072,,,,400 BC,400,400,-400,-400
,,,,,,,8.073,,,,400 BC,400,400,-400,-400
,,,,,,,8.079,,,,400 - 375 BC,400,375,-400,-375
,,,,,,,8.082,,,1231,400 - 300 BC,400,300,-400,-300
,,,,,,,8.084,,,,400 - 300 BC,400,300,-400,-300
,,,,,,,8.090,,,1747,385 BC,385,385,-385,-385
,,,,,,,8.094,,,,375 BC,375,375,-375,-375
,,,,,,,8.099,,,1263,370 B.C. c.,370,370,-370,-370
,,,,,,,8.100,,,,370 B.C. c.,370,370,-370,-370
,,,,,,,8.102,,,,350 BC,350,350,-350,-350
,,,,,,,8.106,,,,350 BC,350,350,-350,-350
,,,,,,,8.107,,,,350 BC,350,350,-350,-350
,,,,,,,8.111,,,,350 BC,350,350,-350,-350
,,,,,,,8.112,,,,350 BC,350,350,-350,-350
,,,,,,,8.114,,,,350 BC,350,350,-350,-350
,,,,,,,8.116,,,,350 BC,350,350,-350,-350
,,,,,,,8.121,,,,350 BC,350,350,-350,-350
,,,,,,,8.126,,,,350-330 BC,350,330,-350,-330
,,,,,,,8.122,,,865,350 BC,350,350,-350,-350
,,,,,,,8.127,,,,350 - 330 BC,350,330,-350,-330
,,,,,,,8.130,,,,350 - 300,350,300,-350,-300
,,,,,,,8.142,,,,340,340,340,-340,-340
,,,,,,,8.145,,,,340 BC,340,340,-340,-340
,,,,,,,8.152,,,,335 BC,335,335,-335,-335
,,,,,,,8.153,,,,335 BC,335,335,-335,-335
,,,,,,,8.155,,,,335 BC,335,335,-335,-335
,,,,,,,8.157,,,,333 BC,333,333,-333,-333
