Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
Khan Cheikhoun,1940,1940,,,,1.075,,,,,,,,,,1547,Khan Shaykhun (Syria),"36.65095,35.44208",https://sws.geonames.org/168325/,,,,seat of a third-order administrative division,,,,,1940,,,,,,,,,Levant,
El-Alweiniye,1941,1941,,,,1.075,,,,,,,,,,1550,Tartus (Syria),,https://sws.geonames.org/163342/,,,,first-order administrative division,,,,,1941,,,,,,,,,Levant,
Arab el-Mulk,1940,1940,,,,1.075,,,,,,,,,,1552,‘Arab al Mulk (Syria),"35.9259,35.26778",https://sws.geonames.org/173096/,https://pleiades.stoa.org/places/668332,Paltos,,populated place,,,,,1940,,,,,,,,,Levant,
North Syria (Haifa),1905,1905,,,,1.075,,,,,,,,,,1556,Syria,,https://sws.geonames.org/163843/,https://pleiades.stoa.org/places/981550,Syria (Roman imperial province),,independent political entity,,,,,1905,,,,,,,,,Levant,
Teffaha,1954,1954,,,,1.075,,,,,,,,,,1557,Tuffāḩah (Syria),"36.0907,34.94354",https://sws.geonames.org/163170/,,,,populated place,,,,,1954,,,,,,,,,Levant,
Akkar,1956,1956,,,,1.075,,,,,,,,,,1559,Akkūm (Syria),"36.36994,34.51851",https://sws.geonames.org/174110/,,,,populated place,,,,,1956,,,,,,,,,Levant,
Ghonsle,1955,1955,,,,1.075,,,,,,,,,,1560,Al Ghunsalah (Syria),"36.09913,35.16791",https://sws.geonames.org/173867/,,,,populated place,,,,,1955,,,,,,,,,Levant,
Latakia,1950,1950,,,,1.075,,,,,,,,,,1561,Latakia (Syria),"35.79011,35.53168",https://sws.geonames.org/173576/,https://pleiades.stoa.org/places/668290,Laodicea,,seat of a first-order administrative division,,,,,1950,,,,,,,,,Levant,
Alep,1930,1930,,,,1.075,,,,,,,,,,1562,Aleppo (Syria),"37.16117,36.20124",https://sws.geonames.org/170063/,https://pleiades.stoa.org/places/658409,Beroia,,seat of a first-order administrative division,,,,,1930,,,,,,,,,Levant,
Baarin,1955,1955,,,,1.075,,,,,,,,,,1567,Zawr Ba‘rīn (Syria),"36.39763,34.94987",https://sws.geonames.org/162479/,,,,populated place,,,,,1955,,,,,,,,,Levant,
