"value","uri","type"
"eretria","http://nomisma.org/id/eretria","mint"
"erythrae","http://nomisma.org/id/erythrae","mint"
"eryx","http://nomisma.org/id/eryx","mint"
"etenna","http://nomisma.org/id/etenna","mint"
"etruria","http://nomisma.org/id/etruria","head_1911_region"
"euboea","http://nomisma.org/id/euboea","head_1911_region"
"euboean_league","http://nomisma.org/id/euboean_league","mint"
"euhesperides","http://nomisma.org/id/euhesperides","mint"
"eurea","http://nomisma.org/id/eurea","mint"
"euthenai","http://nomisma.org/id/euthenai","mint"
"euxine","",""
"euxine_region","http://nomisma.org/id/euxine_region","nomisma_region"
"gades","http://nomisma.org/id/gades","mint"
"gallia","http://nomisma.org/id/gallia","head_1911_region"
"gambrium","http://nomisma.org/id/gambrium","mint"
"gargara","http://nomisma.org/id/gargara","mint"
"gaza","http://nomisma.org/id/gaza","mint"
"gaziura","http://nomisma.org/id/gaziura","mint"
"gela","http://nomisma.org/id/gela","mint"
"gerrha","http://nomisma.org/id/gerrha","mint"
"geto_dacian","http://nomisma.org/id/geto_dacian","mint"
"golgi","http://nomisma.org/id/golgi","mint"
"gomphi","http://nomisma.org/id/gomphi","mint"
"gorgippia","http://nomisma.org/id/gorgippia","mint"
"gortyna","http://nomisma.org/id/gortyna","mint"
"greece","http://nomisma.org/id/greece","nomisma_region"
"haliartus","http://nomisma.org/id/haliartus","mint"
"halicarnassus","http://nomisma.org/id/halicarnassus","mint"
"hatria","http://nomisma.org/id/hatria","mint"
"hecatompylos","http://nomisma.org/id/hecatompylos","mint"
"hecatompylus","",""
"heraclea_ad_latmum","http://nomisma.org/id/heraclea_ad_latmum","mint"
"heraclea_lucaniae","http://nomisma.org/id/heraclea_lucaniae","mint"
"heracleia","",""
"heracleia_illyricum","http://nomisma.org/id/heracleia_illyricum","mint"
"heracleia_lucaniae","",""
"heracleia_pontica","http://nomisma.org/id/heracleia_pontica","mint"
"heracleia_trachinia","http://nomisma.org/id/heracleia_trachinia","mint"
"hermione","http://nomisma.org/id/hermione","mint"
"hierapolis_bambyce","http://nomisma.org/id/hierapolis_bambyce","mint"
"hierapytna","http://nomisma.org/id/hierapytna","mint"
"himera","http://nomisma.org/id/himera","mint"
"hipana","http://nomisma.org/id/hipana","mint"
"hipponium","http://nomisma.org/id/hipponium","mint"
"hispano-punic","http://nomisma.org/id/hispano-punic","mint"
"hispanorum","http://nomisma.org/id/hispanorum","mint"
"histiaea","http://nomisma.org/id/histiaea","mint"
"hyria_campania","http://nomisma.org/id/hyria_campania","mint"
"ialysus","http://nomisma.org/id/ialysus","mint"
"iasus","http://nomisma.org/id/iasus","mint"
"iberian","",""
"ichnae","http://nomisma.org/id/ichnae","mint"
"icosium","http://nomisma.org/id/icosium","mint"
"idalium","http://nomisma.org/id/idalium","mint"
"idyma","http://nomisma.org/id/idyma","mint"
"ilerda","http://nomisma.org/id/ilerda","mint"
"ilium","http://nomisma.org/id/ilium","mint"
"imbros","http://nomisma.org/id/imbros","mint"
"india","http://nomisma.org/id/india","nomisma_region"
"iol","http://nomisma.org/id/iol","mint"
"ionia","http://nomisma.org/id/ionia","head_1911_region"
"ios","http://nomisma.org/id/ios","mint"
"isinda","http://nomisma.org/id/isinda","mint"
"issa","http://nomisma.org/id/issa","mint"
"issus","http://nomisma.org/id/issus","mint"
