"id","value","place","geonames_uri","geonames_place"
"igch0589","Nadaselu (formerly Magyarnádás) c. 17 km. NW of Cluj, Rumania, 1846","Nadaselu  c. 17 km. NW of Cluj","",""
"igch0514","Caprioru, c. 18 km. NW of Tîrgoviste, Rumania, 1956","Caprioru","http://www.geonames.org/682783","Căprioru (Romania)"
"igch0212","Qesarat, c. 15 km. NW of Tepelenë, Albania, 1963","Qesarat","http://www.geonames.org/3184359","Qesarat (Albania)"
"igch0317","Naupactus environs, Locris, 1967","Naupactus environs","",""
"igch0069","Peloponnesus, 1954","Peloponnesus","http://www.geonames.org/255620","Pelopónnisos (Greece)"
"igch0905","Sumen (formerly Kolarovgrad), Bulgaria, 1945","Sumen","http://www.geonames.org/727233","Shumen (Bulgaria)"
"igch1986","Pietrabbondante (anc. Bovianum Vetus), Samnium, 1899","Pietrabbondante","http://www.geonames.org/3170820","Pietrabbondante (Italy)"
"igch0302","Zacharo, near Olympia, Elis, c. 1957","Zacharo","http://www.geonames.org/251283","Zacháro (Greece)"
"igch2268","Cap Bon, Tunisia, 1961","Cap Bon","http://www.geonames.org/1547112","Cap Bon Espoir (French Southern Territories)"
"igch1086","Olbia (mod. Parutino), Ochakov raion, Nikolaev oblast, Ukraine, 1946","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch0130","Argos, 1966","Argos","http://www.geonames.org/264670","Argos (Greece)"
"igch1347","Asia Minor, western, c. 1912","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0630","Merisanii, c. 20 km. NE of Alexandria, Rumania, 1961","Merisanii","http://www.geonames.org/673553","Merişani (Romania)"
"igch2188","Messina ?, 1868","Messina","http://www.geonames.org/2524170","Messina (Italy)"
"igch0128","Kaki Thalassa, Attica, 1968","Kaki Thalassa","http://www.geonames.org/261660","Órmos Kakí Thálassa (Greece)"
"igch0694","Kârdzali, Bulgaria, 1938","Kârdzali","",""
"igch2150","Canicattini, 20 km. W of Syracuse, 1917","Canicattini","http://www.geonames.org/2525404","Canicattini Bagni (Italy)"
"igch1708","Keneh (mod. Qena; anc. Kaionopolis), near Luxor, 1923","Keneh","http://www.geonames.org/350550","Qina (Egypt)"
"igch0730","Popovo environs, c. 38 km. NW of Târgoviste, Bulgaria, 1938","Popovo environs","",""
"igch1814","Gombad, near Gorgan, in anc. Hyrcania, c. 1955","Gombad","http://www.geonames.org/129895","Kabūd Gonbad (Iran)"
"igch2063","Bolognetta, 20 km. SE of Palermo, 1945","Bolognetta","http://www.geonames.org/2525537","Bolognetta (Italy)"
"igch0379","Olynthus, 1938","Olynthus","http://www.geonames.org/735088","Myriófyto (Greece)"
"igch1165","Asia Minor, western, before 1893","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch2277","Orgosolo, 15 km. S of Nuoro, Sardinia, 1932","Orgosolo","http://www.geonames.org/3171962","Orgosolo (Italy)"
"igch0332","Limani-Chersonisou, near Chersonesus, Crete, 1942","Limani-Chersonisou","http://www.geonames.org/259998","Órmos Khersónisos (Greece)"
"igch0770","Kladenzi, Sumen district, Bulgaria, 1949","Kladenzi","http://www.geonames.org/728292","Petokladentsi (Bulgaria)"
"igch0329","Delos, 1961","Delos","http://www.geonames.org/263090","Delos (Greece)"
"igch0991","Olbia (mod. Parutino), 1951","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch1629","Nablus (anc. Neapolis), Samaria, 1935-1936","Nablus","http://www.geonames.org/282615","Nablus (Palestine)"
"igch0007","Santorin (anc. Thera), 1821","Santorin","http://www.geonames.org/252919","Santorini (Greece)"
"igch1310","Cos?, before 1912","Cos","http://www.geonames.org/8584008","Villa de Cos (Mexico)"
"igch1433","Osmaniye (anc. Epiphaneia ?), Cilicia, 1968","Osmaniye","http://www.geonames.org/303195","Osmaniye (Turkey)"
"igch0167","Euboea, c. 1950","Euboea","http://www.geonames.org/262565","Euboea (Greece)"
"igch0927","Târgoviste environs, Bulgaria, 1966","Târgoviste environs","",""
"igch2261","Tunis, 1949","Tunis","http://www.geonames.org/2464461","Tunisia (Tunisia)"
"igch1618","Nahr-Ibrahim, c. 25 km. N of Beirut, Phoenicia, 1874","Nahr-Ibrahim","http://www.geonames.org/269941","Nahr Ibrâhîm (Lebanon)"
"igch0462","Petrsoeni, 58 km. N of Tirgu Jiu, Rumania, 1867","Petrsoeni","",""
"igch0632","Celeiu (formerly Sucidava), c. 34 km. W of Turnu Magurele, Rumania, 1915","Celeiu","http://www.geonames.org/682433","Celeiu (Romania)"
"igch1571","Kessab ?, c. 18 km. S of anc. Seleuceia Pieria, Seleucis, 1947","Kessab","http://www.geonames.org/270597","Mazraat Kassâb (Lebanon)"
"igch1831","Bhir Mound, Taxila, Punjab, Pakistan, 1924","Bhir Mound","http://www.geonames.org/1418310","Rāj Bhīr (Pakistan)"
"igch0293","Delos, 1894","Delos","http://www.geonames.org/263090","Delos (Greece)"
"igch1251","Lycia, c. 20 km. E of Kas (anc. Antiphellus), 1961","Lycia","http://www.geonames.org/8410801","Lycia (Roman province) (Turkey)"
"igch2256","Bronte, 1906","Bronte","http://www.geonames.org/2525498","Bronte (Italy)"
"igch0835","Malâk Porovec, c. 85 km. E of Ruse, Bulgaria, 1957","Malâk Porovec","http://www.geonames.org/729294","Malŭk Porovets (Bulgaria)"
"igch1752","Hillah, c. 10 km. S of anc. Babylon, Babylonia, 1953","Hillah","http://www.geonames.org/99347","Al Hillah (Iraq)"
"igch2003","Surbo, 8 km. N of Lecce, Calabria, 1928","Surbo","http://www.geonames.org/3166021","Surbo (Italy)"
"igch0225","Eretria environs, Euboea, before 1909","Eretria environs","",""
"igch1445","Asia Minor, before 1951","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0177","Carystus, Euboea, c. 1945","Carystus","",""
"igch1216","Calymna, , 1823","Calymna","http://www.geonames.org/261506","Kalymnos Island (Greece)"
"igch0315","Velestinon, near Volos, Thessaly, 1966","Velestinon","http://www.geonames.org/252074","Velestíno (Greece)"
"igch0170","Gytheium, Laconia, 1939","Gytheium","",""
"igch0247","Larissa environs, Thessaly, c. 1912","Larissa environs","",""
"igch0936","Podkova, c. 30 km. S of Kârdzali, Bulgaria, 1942","Podkova","http://www.geonames.org/6623402","Podkova, ozero (Antarctica)"
"igch0732","Gorica, c. 20 km. NE of Burgas, Bulgaria, 1926","Gorica","http://www.geonames.org/3194451","Nova Gorica (Slovenia)"
"igch2064","Schisò (anc. Naxus), 1853","Schisò","http://www.geonames.org/2523195","Capo Schisò (Italy)"
"igch1314","Magnesia, Ionia, 1933","Magnesia","http://www.geonames.org/304827","Magnesia ad Sipylum (Turkey)"
"igch1393","Asia Minor, northern, 1969","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0112","S. Maura, Leucas, Acarnania, before 1847","S. Maura","http://www.geonames.org/4034204","Atoll Maupihaa (French Polynesia)"
"igch1960","Valesio, near Torchiarolo, 15 km. S of Brindisi, Calabria, 1935","Valesio","http://www.geonames.org/3209033","Antica Valesio (Italy)"
"igch0011","Isthmia, near Corinth, 1954","Isthmia","http://www.geonames.org/261721","Isthmía (Greece)"
"igch2070","Palazzolo (anc. Acrae), 1893","Palazzolo","http://www.geonames.org/3171586","Palazzolo sull'Oglio (Italy)"
"igch1192","Mytilene, Lesbos, c. 1850","Mytilene","http://www.geonames.org/256866","Mytilíni (Greece)"
"igch0497","Riben, Pleven district, Bulgaria, 1951","Riben","http://www.geonames.org/727640","Riben (Bulgaria)"
"igch0344","Carystus, Euboea, 1883","Carystus","",""
"igch2121","Manfria, 10 km. NW of Gela, 1948","Manfria","http://www.geonames.org/8504685","Manfria (Italy)"
"igch1402","Arpagot, near Kütahia (anc. Cotiaeum), Phrygia, 1918","Arpagot","",""
"igch1090","Phanagoria environs (near mod. Sennaia), Taman' Peninsula, Krasnodar Territory, RSFSR, 1879","Phanagoria environs","",""
"igch2083","Taormina (anc. Tauromenium), 1891","Taormina","http://www.geonames.org/2522975","Taormina (Italy)"
"igch0084",""Tripolitsa" (Tripolis), Arcadia, 1921",""Tripolitsa"","",""
"igch0697","Tekirdag (anc. Bisanthe), Thrace, 1957","Tekirdag","http://www.geonames.org/738927","Tekirdağ (Turkey)"
"igch0572","Rupci, c. 55 km. S of Pleven, Bulgaria, 1960","Rupci","http://www.geonames.org/6460312","Rupci (Bulgaria)"
"igch0326","Paros, 1936","Paros","http://www.geonames.org/255720","Paros (Greece)"
"igch0245","Zacynthus, 1904","Zacynthus","http://www.geonames.org/251279","Zante Island (Greece)"
"igch2010","Capua, Campania, 1857","Capua","http://www.geonames.org/3180601","Capua (Italy)"
"igch1255","Cilicia, 1957","Cilicia","http://www.geonames.org/8378491","Cilicia (Roman province) (Turkey)"
"igch0268","Athens (near Hephaisteion), 1949","Athens","http://www.geonames.org/264371","Athens (Greece)"
"igch0026","Chalcis, Euboea, 1964","Chalcis","http://www.geonames.org/260133","Chalcis (Greece)"
"igch0976","Belica, c. 70 km. S of Sofia, Bulgaria, 1956","Belica","http://www.geonames.org/790532","Gorna Belica (Macedonia)"
"igch0275","Athens (Plaka), c. 1942","Athens","http://www.geonames.org/264371","Athens (Greece)"
"igch1302","Edremit (anc. Adramyteum), Mysia, 1954","Edremit","http://www.geonames.org/7733001","Edremit (Turkey)"
"igch0300","Kastelli, c. 3 km. S of Gortyna, Crete, 1963","Kastelli","http://www.geonames.org/260805","Kastélli (Greece)"
"igch0125","Attica, c. 1937","Attica","http://www.geonames.org/6692632","Attica (Greece)"
"igch0957","Adrianople (now Edirne) environs, Thrace, before 1789","Adrianople  environs","",""
"igch2156","Serra Orlando (anc. Morgantina), 4 km. NE of Piazza Armerina, 1960","Serra Orlando","http://www.geonames.org/7774651","Sítio Orlando Gil (Brazil)"
"igch1534","Bab (anc. Batnae) environs, between Beroea and Hierapolis, Cyrrhestica, 1944","Bab  environs","",""
"igch1716","Karanis (mod. Kom Washim), 19241925","Karanis","http://www.geonames.org/353851","Kawm Awshīm (Egypt)"
"igch1351","Calymna, Caria, before 1922","Calymna","http://www.geonames.org/261506","Kalymnos Island (Greece)"
"igch0441","Glavaci, NW of Vraca, Bulgaria, 1946","Glavaci","http://www.geonames.org/6461548","Glavaci (Bulgaria)"
"igch1793","Pasargadae, c. 50 km. NE of Persepolis, Persis, 1963","Pasargadae","http://www.geonames.org/121340","Pasargadae (Iran)"
"igch0904","Dolna Zlatica (now Antonovo), c. 55 km. E of Veliko Târnovo, Bulgaria, 1962","Dolna Zlatica","http://www.geonames.org/732110","Dolna Zlatitsa (Bulgaria)"
"igch0050","Peloponnesus, before 1887","Peloponnesus","http://www.geonames.org/255620","Pelopónnisos (Greece)"
"igch0537","Bjala Slatina, 48 km. NE of Vraca, Bulgaria, 1903","Bjala Slatina","http://www.geonames.org/732704","Byala Slatina (Bulgaria)"
"igch1552","Arab el Mulk (anc. Paltus), Seleucis, 1940","Arab el Mulk","http://www.geonames.org/173096","‘Arab al Mulk (Syria)"
"igch0310","Corfu (anc. Corcyra), 1862","Corfu","http://www.geonames.org/2463679","Corfu (Greece)"
"igch0158","Epidaurus, Argolis, 1903","Epidaurus","http://www.geonames.org/262661","Epidaurus (Greece)"
"igch1693","Suez Canal, 1860","Suez Canal","http://www.geonames.org/347712","Suez Canal (Egypt)"
"igch1381","Asia Minor, northern, c. 1959","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch1873","Calabria (anc. Bruttium), 1864","Calabria","http://www.geonames.org/2523630","Reggio Calabria (Italy)"
"igch0131","Argos, 1967?","Argos","http://www.geonames.org/264670","Argos (Greece)"
"igch2101","Augusta (anc. Megara Hyblaea), 1954","Augusta","http://www.geonames.org/4957003","Augusta (United States)"
"igch0831","Mračenik, Karlovo district, N of Plovdiv, Bulgaria, 1934","Mračenik","",""
"igch2179","Syracuse, Fusco, 1955","Syracuse","http://www.geonames.org/5140405","Syracuse (United States)"
"igch1887","Calabria (anc. Bruttium), 1863","Calabria","http://www.geonames.org/2523630","Reggio Calabria (Italy)"
"igch1320","Calymna, Caria, 1932-1934","Calymna","http://www.geonames.org/261506","Kalymnos Island (Greece)"
"igch2055","Carrara (anc. Luna), Etruria, 1860","Carrara","http://www.geonames.org/3180423","Carrara (Italy)"
"igch0044","Olympia environs, Elis, c. 1859","Olympia environs","",""
"igch1318","Sardes, Lydia, 1911","Sardes","http://www.geonames.org/7274687","Sardis center (Turkey)"
"igch1884","S. Stefano di Rogliano, 10 km. SSE of Cosenza, Bruttium, c. 1910","S. Stefano di Rogliano","",""
"igch0892","Suha reka, c. 20 km. S of Sumen, Bulgaria, 1958","Suha reka","http://www.geonames.org/785238","Suva Reka (Kosovo)"
"igch1653","Giza pyramids, 1950","Giza pyramids","http://www.geonames.org/355017","Pyramids of Giza (Egypt)"
"igch1700","Luxor (Birabi), 1915-1916","Luxor","http://www.geonames.org/360502","Luxor (Egypt)"
"igch1324","Cos ?, 1935","Cos","http://www.geonames.org/8584008","Villa de Cos (Mexico)"
"igch0832","Bunovo, c. 50 km. E of Sofia, Bulgaria, 1942","Bunovo","http://www.geonames.org/732787","Bunovo (Bulgaria)"
"igch1754","Chorsabad, c. 35 km. NE of Mosul, in anc. Assyria, 1934?","Chorsabad","",""
"igch0615","Aleksandrovo, 20 km. NE of Loveč, Bulgaria, 1941","Aleksandrovo","http://www.geonames.org/583052","Urochishche Aleksandrovo (Russia)"
"igch0815","Tulcea, Rumania, 1929-1930","Tulcea","http://www.geonames.org/664518","Tulcea (Romania)"
"igch0788","Kosarica, c. 30 km. N of Burgas, Bulgaria, 1959","Kosarica","http://www.geonames.org/3197636","Košarica (Montenegro)"
"igch0548","Adînca, c. 12 km. E of Tirgoviste, Rumania, 1953","Adînca","http://www.geonames.org/617160","Valea Adîncă (Moldova)"
"igch0791","Varna (anc. Odessus), Bulgaria, 1941","Varna","http://www.geonames.org/726050","Varna (Bulgaria)"
"igch2249","Avola, SE Sicily, 1915","Avola","http://www.geonames.org/2525643","Avola (Italy)"
"igch0085","Chiliomodi, 18 km. S of Corinth, 1932","Chiliomodi","http://www.geonames.org/260025","Vrachonisída Chélia (Greece)"
"igch1163","Rhodes?, , before 1941","Rhodes","http://www.geonames.org/400665","Rhodes (Greece)"
"igch0544","Ghelinta (formerly Gelence), 55 km. NE of Brasov, Rumania, 1875","Ghelinta","http://www.geonames.org/677477","Comuna Ghelinţa (Romania)"
"igch1022","Kobuleti environs, Adzhar ASSR, Georgia, 1948","Kobuleti environs","",""
"igch1286","Rhodes, c. 1961","Rhodes","http://www.geonames.org/400665","Rhodes (Greece)"
"igch0940","Ustren, c. 71 km. S of Haskovo, Bulgaria, 1939 Burial: c. 125-I00 B.C.? (T) Contents: AE. Pot hoard Maroneia Disposition: Sofia 4 Gerasimov, BIAB 13 , p. 345 941 Kriva reka, c. 30 km. N of Sumen, Bulgaria, 1957","Ustren","http://www.geonames.org/726083","Ustren (Bulgaria)"
"igch0376","Olynthus, 1928","Olynthus","http://www.geonames.org/735088","Myriófyto (Greece)"
"igch2333","Cheste, 25 km. W of Valencia, 1864","Cheste","http://www.geonames.org/2519522","Cheste (Spain)"
"igch1664","Demanhur (mod. Damanhûr; anc. Dime-n-Hor = Hermopolis parva), 1905","Demanhur","",""
"igch1468","Kannaviou, c. 18 km. SE of Polis (anc. Marium), 1936","Kannaviou","http://www.geonames.org/146557","Kannaviou (Cyprus)"
"igch1964","Oria environs, 30 km. E of Taranto, Calabria, 1884","Oria environs","",""
"igch2123","S. Maria di Licodia, N of Paterno, (917 = 217) 1890","S. Maria di Licodia","",""
"igch0018","Corinth ?, c. 1935","Corinth","http://www.geonames.org/259289","Corinth (Greece)"
"igch2330","Caudete de las Fuentes (= Los Villares), 80 km. W of Valencia, 1960?","Caudete de las Fuentes","http://www.geonames.org/6361960","Caudete de las Fuentes (Spain)"
"igch2209","Lilybaeum, 1922","Lilybaeum","",""
"igch1799","Susa, Susiana, 1948-1949","Susa","http://www.geonames.org/409419","Şuşa Şəhəri (Azerbaijan)"
"igch0265","Tegea, Arcadia, before 1887","Tegea","http://www.geonames.org/265368","Tegea (Greece)"
"igch1375","Asia Minor, northern?, c. 1948","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0222","Elis ?, 1936","Elis","http://www.geonames.org/261797","Ilia Prefecture (Greece)"
"igch1194","Vourla? (now Urla; anc. Clazomenae), Ionia, 1875","Vourla","http://www.geonames.org/261211","Kaména Voúrla (Greece)"
"igch1182","","","",""
"igch1617","Palestine, before 1942","Palestine","http://www.geonames.org/6254930","Palestine (Palestine)"
"igch1371","Sinop (anc. Sinope), Paphlagonia, c. 1937","Sinop","http://www.geonames.org/739598","Sinop (Turkey)"
"igch1756","Mosul, in anc. Mesopotamia, 1862-3?","Mosul","http://www.geonames.org/99072","Mosul (Iraq)"
"igch0914","Kepeli (mod. Svoboda), 21 km. N of Pazardzik, Bulgaria, 1906","Kepeli","http://www.geonames.org/8134447","Khrebet Kepeli (Kyrgyzstan)"
"igch1264","Karatas (anc. Mallus), Cilicia, 1966-7","Karatas","http://www.geonames.org/304688","Karataş (Turkey)"
"igch1107","Krasnaia Batareia (formerly Batareinyi), Krymsk raion, Krasnodar Territory, RSFSR, 1926","Krasnaia Batareia","",""
"igch0687","Kojnare, c. 40 km. W of Pleven, Bulgaria, 1963","Kojnare","http://www.geonames.org/6460307","Kojnare (Bulgaria)"
"igch0274","Athens (Pnyx), 1937","Athens","http://www.geonames.org/264371","Athens (Greece)"
"igch1747","Mesopotamia or Babylonia, before 1900","Mesopotamia or Babylonia","",""
"igch0001","Matala environs, port of Phaestus, Crete, 35 , 1943","Matala environs","",""
"igch0072","Palaiomanina Xiromero, Aetolia, 1961","Palaiomanina Xiromero","http://www.geonames.org/256087","Palaiománina (Greece)"
"igch0403","Raskovo, Botevgrad district, NE of Sofia, Bulgaria, 1939","Raskovo","http://www.geonames.org/786455","Raskovo (Kosovo)"
"igch1630","Palestine, 1930","Palestine","http://www.geonames.org/6254930","Palestine (Palestine)"
"igch0004","Cythera, Laconia, 23 , before 1925","Cythera","http://www.geonames.org/259709","Kythera (Greece)"
"igch0767","Staroselka, c. 42 km. S of Sumen, Bulgaria, 1955","Staroselka","http://www.geonames.org/726827","Staroselka (Bulgaria)"
"igch1364","Asia Minor, northern?, c. 1960","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch1401","Gordium, Phrygia, 1959","Gordium","http://www.geonames.org/313958","Gordion (Turkey)"
"igch2015","Canosa di Puglia (anc. Canusium), 18 km. SW of Barletta, Apulia, 1911?","Canosa di Puglia","http://www.geonames.org/3180792","Canosa di Puglia (Italy)"
"igch0706","Roksolany, 1960","Roksolany","http://www.geonames.org/695513","Roksolany (Ukraine)"
"igch1267","Asia Minor, southern, 1967-1968","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0193","Thebes, Boeotia, 1935","Thebes","http://www.geonames.org/252910","Thebes (Greece)"
"igch2030","Salve, near Lecce, Calabria, 1930","Salve","http://www.geonames.org/2523539","Salve (Italy)"
"igch1509","Palestine, 1966 or earlier","Palestine","http://www.geonames.org/6254930","Palestine (Palestine)"
"igch0420","Skudljivac, Lesina, Dalmatia, Yugoslavia, 1867","Skudljivac","",""
"igch0719","Thrace, before 1965","Thrace","http://www.geonames.org/6697803","East Macedonia and Thrace (Greece)"
"igch2056","Poggio Picenze, 10 km. SE of L'Aquila degli Abruzzi, Picenum, 1954","Poggio Picenze","http://www.geonames.org/3170450","Poggio Picenze (Italy)"
"igch0826","Turija, c. 18 km. N of Stara Zagora, Bulgaria, 1946","Turija","http://www.geonames.org/784820","Turija (Serbia)"
"igch0267","Achaea?, before 1940","Achaea","http://www.geonames.org/255683","Patras (Greece)"
"igch1288","Pazarlik (anc. Kastabos), Caria, 1960","Pazarlik","",""
"igch0235","Jannina environs, Epirus, 1935","Jannina environs","",""
"igch0540","Novo selo, Vraca district, Bulgaria, 1938","Novo selo","http://www.geonames.org/862945","Novo Selo (Macedonia)"
"igch2295","Tunis, 1965","Tunis","http://www.geonames.org/2464461","Tunisia (Tunisia)"
"igch0406","Macedonia, 1939","Macedonia","http://www.geonames.org/718075","Macedonia (Macedonia)"
"igch1496","Byblus (mod. Jebail), Phoenicia, 1931 (175, part)","Byblus","",""
"igch0486","Krasno gradiste, c. 45 km. W of Veliko Târnovo, Bulgaria, 1954","Krasno gradiste","",""
"igch1549","Syria?, before 1964","Syria","http://www.geonames.org/163843","Syria (Syria)"
"igch1890","Sava, 30 km. ESE of Taranto, Calabria, 1856","Sava","http://www.geonames.org/7670846","Sava Region (Madagascar)"
"igch1477","Nea Paphus, 1964","Nea Paphus","",""
"igch0513","Bogati, c. 19 km. E of Pitesti, Rumania, c. 1913","Bogati","http://www.geonames.org/684422","Comuna Bogaţi (Romania)"
"igch2196","Gela, 1918","Gela","http://www.geonames.org/2524653","Gela (Italy)"
"igch0678","Réte, eastern Hungary, 1905","Réte","http://www.geonames.org/6121573","Rete Lake (Canada)"
"igch0463","Banat district, W. Rumania, 1804","Banat district","",""
"igch0538","Gradesnica, c. 30 km. N of Vraca, Bulgaria, 1952","Gradesnica","http://www.geonames.org/790242","Gradešnica (Macedonia)"
"igch2021","Tiriolo, 10 km. NW of Catanzaro, Bruttium, 1897","Tiriolo","http://www.geonames.org/2522930","Tiriolo (Italy)"
"igch2208","Palermo (anc. Panormus) environs, 1958","Palermo  environs","",""
"igch2061","Calatabiano, 5 km. SW of Taormina, before 1946","Calatabiano","http://www.geonames.org/2525459","Calatabiano (Italy)"
"igch1079","Olbia (mod. Parutino), 1948","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch2324","Montemolin, near Marchena, 50 km. E of Seville, before 1871","Montemolin","http://www.geonames.org/2513628","Montemolín (Spain)"
"igch2352","Auriol, 25 km. NE of Marseille, 1867","Auriol","http://www.geonames.org/1328748","Auriol Island (Myanmar [Burma])"
"igch1376","Bithynia?, before 1876","Bithynia","http://www.geonames.org/8378484","Bithynia and Pontus (Roman province) (Turkey)"
"igch0797","Troica, c. 15 km. S of Sumen, Bulgaria, 1946","Troica","http://www.geonames.org/6460780","Troica (Bulgaria)"
"igch0256","Delos, 1931","Delos","http://www.geonames.org/263090","Delos (Greece)"
"igch1525","Syria?, 1966","Syria","http://www.geonames.org/163843","Syria (Syria)"
"igch2034","Ascoli Piceno (anc. Asculum), Picenum, 1883","Ascoli Piceno","http://www.geonames.org/3182749","Ascoli Piceno (Italy)"
"igch1274","Cyprus, 1924 (293a)","Cyprus","http://www.geonames.org/146669","Cyprus (Cyprus)"
"igch2378","Bouches-du-Rhône, near l'Étang de Berre, 1834","Bouches-du-Rhône","http://www.geonames.org/3031359","Bouches-du-Rhône (France)"
"igch0587","Moigrad, 8 km. NE of Zalau, Rumania, 1907","Moigrad","http://www.geonames.org/672930","Moigrad-Porolissum (Romania)"
"igch0686","Orehovica, Pleven district, Bulgaria, 1965","Orehovica","http://www.geonames.org/3194020","Orehovica (Croatia)"
"igch1077","Olbia (mod. Parutino), 1947","Olbia","http://www.geonames.org/6299573","Olbia - Costa Smeralda Airport (Italy)"
"igch0134","Thoricos, near Laurium, Attica, 1969","Thoricos","",""
"igch2225","Sicily, date unknown","Sicily","http://www.geonames.org/2523920","Palermo (Italy)"
"igch1137","Sukhumi (anc. Dioscurias) environs, Abkhaz ASSR, Georgia, 1890-1900","Sukhumi  environs","",""
"igch1423","Armenak (= Ermenak; anc. Germanicopolis), Cilicia Tracheia, 1927","Armenak","",""
"igch1221","Chios, Ionia, , 1931","Chios","http://www.geonames.org/259972","Chios (Greece)"
"igch1737","Kabala, Kutkashen raion, c. 80 km. NW of Shemakha (in anc. Albania), Azerbaidzhan, 1966","Kabala","http://www.geonames.org/2408329","Kabala (Sierra Leone)"
"igch1028","Chitatskhali, Zugdidi raion, Georgia, before 1936","Chitatskhali","",""
"igch1276","Dali, , 1869 (297, part)","Dali","http://www.geonames.org/1814093","Dali (China)"
"igch0501","Kameno pole, c. 40 km. E of Vraca, Bulgaria, 1964","Kameno pole","http://www.geonames.org/6461588","Kameno pole (Bulgaria)"
"igch1490","Aleppo (anc. Beroea), Cyrrhestica, 1865","Aleppo","http://www.geonames.org/170063","Aleppo (Syria)"
"igch1681","Saqqara, near Memphis, 20 km. S of Cairo, 1968","Saqqara","http://www.geonames.org/349608","Saqqara (Egypt)"
"igch0033","Megara, 1935","Megara","http://www.geonames.org/257365","Megara (Greece)"
"igch0647","Poroschia, 7 km. S of Alexandria, Rumania, 1943 or earlier","Poroschia","http://www.geonames.org/669831","Comuna Poroschia (Romania)"
"igch1985","Benevento environs, Samnium, 1884","Benevento environs","",""
"igch0749","Plovdiv (anc. Philippopolis), Bulgaria, 1941","Plovdiv","http://www.geonames.org/728193","Plovdiv (Bulgaria)"
"igch2221","Rosolini, 15 km. NW of Pachino, 1907","Rosolini","http://www.geonames.org/2523581","Rosolini (Italy)"
"igch0343","Attica, 1927","Attica","http://www.geonames.org/255274","Piraeus (Greece)"
"igch1551","Syria?, 1937","Syria","http://www.geonames.org/163843","Syria (Syria)"
"igch0549","Marpurgo, near Belgrade, Yugoslavia, 1932","Marpurgo","",""
"igch1593","Ras-Baalbek, c. 35 km. NE of Baalbek, Coelesyria, 1957","Ras-Baalbek","http://www.geonames.org/268745","Râs Baalbek (Lebanon)"
"igch1447","Asia Minor?, 1950","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch2212","Selinunte, acropolis, 1966","Selinunte","http://www.geonames.org/2523164","Selinunte (Italy)"
"igch2022","Peradace, near Tiriolo, 10 km. WNW of Catanzaro, Bruttium, 1926","Peradace","",""
"igch0149","Epidaurus, Argolis, 1933","Epidaurus","http://www.geonames.org/262661","Epidaurus (Greece)"
"igch1599","Phoenicia, c. 1966","Phoenicia","http://www.geonames.org/8504928","Phoenicia (Lebanon)"
"igch2278","Salaro (= Bultei), 55 km. SE of Sassari, Sardinia, 1934","Salaro","http://www.geonames.org/1361209","Boland Shāh Salāro (Pakistan)"
"igch1180","Caria, 1932","Caria","http://www.geonames.org/8378490","Caria and Phrygia (Roman province) (Turkey)"
"igch1130","Cherronesus environs (near mod. Sevastopol'), Crimea oblast, Ukraine, 1944","Cherronesus environs","",""
"igch1710","Delta, 1970","Delta","http://www.geonames.org/3644541","Delta Amacuro (Venezuela)"
"igch1713","Delta, 1964","Delta","http://www.geonames.org/3644541","Delta Amacuro (Venezuela)"
"igch1367","Asia Minor, northern, c. 1970","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch1111","Lubianka, Veselinovo raion, Nikolaev oblast, Ukraine, before 1884","Lubianka","http://www.geonames.org/3093012","Łubianka (Poland)"
"igch1409","Pisidia?, c. 1968","Pisidia","http://www.geonames.org/8224038","Antioch in Pisidia (Turkey)"
"igch0834","Samuil, c. 28 km. N of Sumen, Bulgaria, 1951","Samuil","http://www.geonames.org/727454","Obshtina Samuil (Bulgaria)"
"igch0054","Crete, before 1884","Crete","http://www.geonames.org/6697802","Crete (Greece)"
"igch1554","Syria?, before 1917","Syria","http://www.geonames.org/163843","Syria (Syria)"
"igch1132","Cherronesus (near mod. Sevastopol'), 1956","Cherronesus","",""
"igch1811","Nehavend, 1935","Nehavend","http://www.geonames.org/122915","Nahavand (Iran)"
"igch0554","Platania, near Drama, Macedonia, 1957","Platania","http://www.geonames.org/255071","Plataniá (Greece)"
"igch1390","Amastris, Paphlagonia, before 1925","Amastris","http://www.geonames.org/752016","Amasra (Turkey)"
