"id","value","place","geonames_uri","geonames_place"
"igch0586","Gura Vaii (= Baia de Cris, formerly (120, 471) Körösbánya), c. 78 km. NE of Arad, Rumania, 1850","Gura Vaii (= Baia de Cris","",""
"igch1068","Kerch' (anc. Panticapaeum), Crimea oblast, Ukraine, 1869","Kerch'","http://www.geonames.org/706524","Kerch (Ukraine)"
"igch1558","Antakya (anc. Antioch) district, Seleucis, 1962","Antakya  district","",""
"igch0604","Lemnia, 40 km. NE of Sf. Gheorghe, Rumania, 1963","Lemnia","http://www.geonames.org/674897","Comuna Lemnia (Romania)"
"igch1585","Beth-Shan (anc. Nysa-Scythopolis), Samaria, 1921-1923","Beth-Shan","http://www.geonames.org/295435","Bet She'an (Israel)"
"igch0405","Serres, Macedonia, 1968","Serres","http://www.geonames.org/734330","Serres (Greece)"
"igch1303","Pergamum, Mysia, 1960","Pergamum","http://www.geonames.org/321426","Bergama (Turkey)"
"igch0034","Greece, central, c. 1900","Greece","http://www.geonames.org/390903","Greece (Greece)"
"igch1472","Larnaca (anc. Citium), 1870","Larnaca","http://www.geonames.org/146400","Larnaca (Cyprus)"
"igch0181","Sparta, Laconia, 1908","Sparta","http://www.geonames.org/253396","Spárta (Greece)"
"igch0636","Transylvania, Rumania, before 1898","Transylvania","http://www.geonames.org/664661","Transylvania (Romania)"
"igch1931","Lucania, 1865","Lucania","http://www.geonames.org/6081633","Mount Lucania (Canada)"
"igch1003","Nymphaeum (mod. Geroevka, formerly Ėl'tigen), S of Kerch', Crimea oblast, Ukraine, 1880?","Nymphaeum (mod. Geroevka","",""
"igch0766","Asparuhovo, c. 100 km. SW of Varna, Bulgaria, 1950","Asparuhovo","",""
"igch1348","Asia Minor, western, c. 1933","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0792","Jarebična, c. 10 km. N of Varna, Bulgaria, 1950","Jarebična","",""
"igch1984","Taranto environs, Calabria, 1922 (1056-7)","Taranto environs","",""
"igch0214","Makrakomi, W of Lamia, Thessaly, 1932","Makrakomi","http://www.geonames.org/257975","Makrakómi (Greece)"
"igch0649","Varmaga, c. 20 km. NE of Deva, Rumania, c. 1908","Varmaga","http://www.geonames.org/663165","Vărmaga (Romania)"
"igch2345","Xarraca, Ibiza, 1891","Xarraca","http://www.geonames.org/6690248","Xarraca (Spain)"
"igch0424","Vlasatica, W of Vraca, Bulgaria, 1950","Vlasatica","http://www.geonames.org/6461527","Vlasatica (Bulgaria)"
"igch0099","Aspropyrgos, Attica, 1951","Aspropyrgos","http://www.geonames.org/264445","Asprópyrgos (Greece)"
"igch1740","Leninakan (formerly Alexandropol), Armenia 1900-1909","Leninakan","http://www.geonames.org/616635","Gyumri (Armenia)"
"igch0002","Athens, , c. 1788","Athens","http://www.geonames.org/264371","Athens (Greece)"
"igch1168","Asia Minor, western, c. 1962","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch0381","Cavalla (anc. Neapolis), Macedonia, c. 1935","Cavalla","http://www.geonames.org/2278062","Cavalla (Liberia)"
"igch1154","Ephesus, 1905","Ephesus","http://www.geonames.org/7522155","Ephesus (Turkey)"
"igch1076","Olbia (mod. Parutino), Ochakov raion, Nikolaev oblast, Ukraine, 1946","Olbia","http://www.geonames.org/3172087","Olbia (Italy)"
"igch1454","Asia Minor, c. 1959","Asia Minor","http://www.geonames.org/7785010","Minor Lima (Malaysia)"
"igch1771","Zivnik near Midyat, c. 60 km. NE of Mardin (anc. district of Gordyene, Mesopotamia), 1962","Zivnik near Midyat","",""
"igch0407","Macedonia, before 1892","Macedonia","http://www.geonames.org/718075","Macedonia (Macedonia)"
"igch1580","Hama (anc. Epiphaneia), Seleucis, 1937","Hama","http://www.geonames.org/170017","Hama (Syria)"
"igch0872","Rakitovo, c. 30 km. SW of Pazardzik, Bulgaria, 1920","Rakitovo","http://www.geonames.org/727800","Obshtina Rakitovo (Bulgaria)"
"igch1975","Taranto ?, Calabria, before 1900","Taranto","http://www.geonames.org/3165926","Taranto (Italy)"
"igch1652","Naucratis (mod. El Nibeira or El Niqrâsh), 20 km. SE of Damanhûr, , 1905","Naucratis","http://www.geonames.org/351274","Naucratis (Egypt)"
"igch1868","Bhutri, Hazara district, Pakistan, 1933","Bhutri","http://www.geonames.org/7075735","Bhutri (Pakistan)"
"igch0580","Bihar, Hungary, c. 1907","Bihar","http://www.geonames.org/1275715","Bihar (India)"
"igch1502","Tell Abu Hawam, near Haifa (anc. Sicmona(, Phoenicia, 1930","Tell Abu Hawam","",""
"igch0206","Dodona, Epirus, 1885","Dodona","http://www.geonames.org/1055993","Talata-Dodona (Madagascar)"
"igch1659","Egypt, 1953","Egypt","http://www.geonames.org/357994","Egypt (Egypt)"
"igch2048","Tortoreto, 32 km. ESE of Ascoli Piceno, Picenum, 1896","Tortoreto","http://www.geonames.org/3165365","Tortoreto (Italy)"
"igch0531","Nedan, c. 10 km. N of Veliko Târnovo, Bulgaria, 1964","Nedan","http://www.geonames.org/728853","Nedan (Bulgaria)"
"igch1071","Staro-Nizhne-Steblievskaia environs, Krasnoarmeisk raion, Krasnodar Territory, RSFSR, 1943","Staro-Nizhne-Steblievskaia environs","",""
"igch0408","Krivodol, c. 20 km. N of Vraca, Bulgaria, 1967","Krivodol","http://www.geonames.org/729907","Obshtina Krivodol (Bulgaria)"
"igch0584","Talpe, 53 km. SE of Oradea, Rumania, c. 1930","Talpe","http://www.geonames.org/665587","Talpe (Romania)"
"igch1636","Mit Rahineh, near Memphis, 20 km. S of Cairo, 1860","Mit Rahineh","http://www.geonames.org/352547","Memphis (Egypt)"
"igch0748","Gorni Voden, c. 25 km. S of Plovdiv, Bulgaria, 1960","Gorni Voden","http://www.geonames.org/731194","Gorni Voden (Bulgaria)"
"igch1243","Karaman (anc. Laranda), Lycaonia, 1946","Karaman","http://www.geonames.org/309527","Karaman (Turkey)"
"igch1215","Mugla (anc. Pisye), Caria, , 1950","Mugla","http://www.geonames.org/304183","Muğla (Turkey)"
"igch0027","Melos, 1907","Melos","http://www.geonames.org/256951","Milos (Greece)"
