internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
sub18,Artemis Proseoea,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub19,Artemis Selene,Artemis,,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
sub20,Artemis Tauropolos,Artemis,artemis phosphoros,,Female,Deity,Greek,Olympic,,,,Artemis ist …,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
627,,Ascanius,,from_cnt,Male,MythologicalFigure,Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Ascanius_person
67,,Asclepius,asklepios,"from_cnt,from_it",Male,Deity,Greek-Roman,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57049
5,,Athena,,"from_cnt,from_it",Female,Deity,Greek,Olympic,,,Minerva,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub21,Athena Alalkoneneis,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub22,Athena Alea,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub24,Athena Alkidemos,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub23,Athena Alkis,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub25,Athena Chalkioikos,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub26,Athena Daphnephoros,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub27,Athena Ilias,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub28,Athena Itonia,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub29,Athena Koria,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub30,Athena Kranaia,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub31,Athena Kyrrhestis,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub32,Athena Lindia,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub33,Athena Magarsis,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub34,Athena Nikephoros,Athena,athena promachos,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub35,Athena Parthenos,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub37,Athena Poliaochos,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub36,Athena Polias,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub38,Athena Poliouschos,Athena,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
sub39,Athena Promachos,Athena,athena nikephoros,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
95,,Attis,,"from_cnt,from_it",Male,Hero,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/attis_person
275,,Bacchus,,from_cnt,Male,Deity,Roman,Olympic,,,Dionysus,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57949
499,,Bona Mens,"mens,mens bona",from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/BonaMens_person
276,,Bonus Eventus,,from_cnt,Male,Deity,Roman,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57291
482,,Britannia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Britannia_person
483,,Bythnia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Bythnia_person
