internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
445,,Janus,janus quadrifons,from_ocre,Male,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Janus_person
506,,Jucunditas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Jucunditas_person
465,,Judaea,judea,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Judaea_person
328,,Juno,"juno moneta,juno sospita",from_cnt,Female,Deity,Roman,Olympic,,,Hera,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58624
434,,Justitia,iustitia,from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Justitia_person
429,,Juventas,,from_ocre,Female,Deity,Roman,Other,,,Hebe,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Juventas_person
78,,Kabeiroi,,from_it,Male,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/kabeiroi_NEW
33,,Keroessa,,"from_cnt,from_it",Female,Hero,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/keroessa_person
20,,Kore,,"from_cnt,from_it",Female,Deity,Greek,Underworld,,,"Persephone,Proserpina",,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/kore_person
sub47,Kore Soteira,Kore,,,Female,Deity,Greek,Underworld,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/kore_person
629,,Koronis,,from_cnt,Female,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Koronis_person
433,,Laetitia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Laetitia_person
481,,Liberalitas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Liberalitas_person
437,,Libertas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Libertas_person
476,,Luna,moon,from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Moon_person
480,,Lunus,,from_ocre,Male,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Lunus_person
488,,Macedonia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Macedonia_person
60,,Maenad,maenads,"from_cnt,from_it",Female,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/maenad_person
470,,Maia,,from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Maia_person
79,,Mars,,"from_cnt,from_it",Male,Deity,Roman,Olympic,,,Ares,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59284
201,,Marsyas,,"from_cnt,from_it",Male,MythologicalFigure,Satyr-Silen,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/marsyas_person
61,,Medusa,,"from_it,from_ocre",Female,MythologicalFigure,Greek-Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Medusa_person
100,,Melikertes,,from_it,Male,Hero,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/melikertes_NEW
345,,Melsas,,from_cnt,Male,Hero,CityFounder,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/melsas_person
346,,Mercury,,from_cnt,Male,Deity,Roman,Olympic,,,Hermes,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637
347,,Mestos,nestos,from_cnt,Male,Deity,Greek,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/mestos_person
348,,Minerva,,from_cnt,Female,Deity,Roman,Olympic,,,Athena,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57060
502,,Minotaur,,from_ocre,Male,MythologicalFigure,Greek-Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Minotaur_person
485,,Moesia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Moesia_person
446,,Moneta,"monetae,tres monetae",from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Monetae_person
492,,Munificentia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Munificentia_person
21,,Nemesis,,"from_cnt,from_it",Female,Deity,Greek,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59551
554,,Nephthys,,from_ocre,Female,Deity,Egyptian,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Nephthys_person
351,,Neptune,,from_cnt,Male,Deity,Roman,Olympic,,,Poseidon,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59828
624,,nereid,nereids,from_cnt,Female,Deity,Greek,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/nereid_person
22,,Nike,,"from_cnt,from_it",Female,Deity,Greek,Other,,,Victoria,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60915
477,,Nilus,nile,from_ocre,Male,Deity,Roman,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Nilus_person
444,,Nobilitas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Nobilitas_person
486,,Noricum,,from_ocre,Male,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Noricum_person
23,,nymphs,nymph,"from_cnt,from_it",Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/nymph_person
473,,Oceanus,ocean,from_ocre,Male,Deity,Roman,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Ocean_person
86,,Oiskos,,"from_cnt,from_it",Male,Deity,Greek,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Oiskos_person
622,,Orpheus,,from_cnt,Male,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Orpheus_person
80,,Pan,,"from_cnt,from_it",Male,Deity,Greek,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59726
24,,Parthenos,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/parthenos_NEW
442,,Parthia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Parthia_person
479,,Patientia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Patientia_person
81,,Pax,,"from_cnt,from_it",Female,Deity,Roman,Personification,,,Eirene,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/76227
94,,Perinthos,,"from_cnt,from_it",Male,Hero,CityFounder,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/perinthos_person
505,,Perpetuitas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Perpetuitas_person
25,,Persephone,,"from_cnt,from_it",Female,Deity,Greek,Underworld,,,"Kore,Proserpina",,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59758
101,,Perseus,,"from_cnt,from_it",Male,Hero,Greek,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59759
489,,Phoenicia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Phoenicia_person
487,,Phrygia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Phrygia_person
431,,Pietas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Pietas_person
368,,Pluto,,from_cnt,Male,Deity,Roman,Underworld,,,Hades,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59809
369,,Pollux,,from_cnt,Male,Deity,Greek-Roman,Other,,,"Dioscur,Polydeuces",,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/pollux_person
370,,Polydeuces,polydeukes,from_cnt,Male,Deity,Greek,Other,,,"Dioscur,Pollux",,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/polydeuces_person
616,,Pontos,,from_cnt,Male,Deity,Greek,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/pontos
82,,Poseidon,,"from_cnt,from_it",Male,Deity,Greek,Olympic,,,Neptune,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59828
sub77,Poseidon Helikonios,Poseidon,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59828
sub78,Poseidon Hippios,Poseidon,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59828
sub79,Poseidon Kalauros,Poseidon,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59828
sub80,Poseidon Porthmios,Poseidon,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59828
83,,Priapos,,from_it,Male,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/priapos_NEW
373,,Proserpina,,from_cnt,Female,Deity,Roman,Underworld,,,"Kore,Persephone",,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59758
102,,Protesilaos,,"from_cnt,from_it",Male,Hero,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/protesilaos_person
503,,Pudicitia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Pudiitia_person
529,,Quies,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Quies_person
199,,Remus,,"from_cnt,from_it",Male,MythologicalFigure,Roman,CityFounder,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60203
541,,Respublica,res publica,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/RespublicaVictory_person
491,,Rhea Silvia,,from_ocre,Female,MythologicalFigure,Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/RheaSilvia_person
469,,Rhenus,,from_ocre,Male,Deity,Roman,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Rhenus_person
26,,Roma,roma victrix,"from_cnt,from_it",Female,Deity,Roman,Personification,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60208
200,,Romulus,,"from_cnt,from_it",Male,MythologicalFigure,Roman,CityFounder,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60209
495,,Saeculum Frugiferum,,from_ocre,Male,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/SeaculumFrugiferum_person
422,,Saturn,,from_ocre,Male,Deity,Roman,Other,,,Kronos,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Saturn_person
413,,satyr,"satyrs,silen,silens",from_cnt,Male,MythologicalFigure,,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60385
525,,Savus,,from_ocre,Male,Deity,Roman,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Savus_person
490,,Scythia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Scythia_person
498,,Season,seasons,from_ocre,Male,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Seasons_person
27,,Selene,,"from_cnt,from_it",Female,Deity,Greek,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/selene_person
28,,Serapis,sarapis,"from_cnt,from_it",Female,Deity,Egyptian,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60374
452,,Sicilia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Sicilia_person
202,,Silenos,,from_it,Male,MythologicalFigure,Satyr-Silen,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/silenos_NEW
524,,Siscia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Siscia_person
475,,Sol,"sol invictus,sun",from_ocre,Male,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Sol_person
427,,Spes,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Spes_person
87,,Strymon,,"from_cnt,from_it",Male,Deity,Greek,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/strymon_person
29,,Syrinx,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/syrinx_NEW
392,,Telephos,,from_cnt,Male,Hero,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/telephos_person
88,,Telesphoros,telesphorus,"from_cnt,from_it",Male,Deity,,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60691
523,,Tempus,,from_ocre,Male,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Tempus_person
30,,Thalassa,,"from_cnt,from_it",Female,Deity,Greek,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/thalassa_person
621,,Thanatus,,from_cnt,Male,Deity,Greek,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Thanatus_person
31,,Themis,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/themis_NEW
89,,Theos Megas,great god,"from_cnt,from_it",Male,Deity,Greek-Roman,Other,,,Great god,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/theos_megas_person
396,,Tonzos,tonzus,from_cnt,Male,Deity,Greek,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/tonzos_person
509,,Tranquillitas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Tranquillitas_person
90,,Triptolemos,triptolemon,"from_cnt,from_it",Male,Deity,Greek,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/triptolemos_person
497,,Triton,,from_ocre,Male,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Triton_person
585,,Tutela,,from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Tutela_person
436,,Twins,,from_ocre,Male,Hero,CityFounder,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Twins_person
32,,Tyche,tyche poleos,"from_cnt,from_it",Female,Deity,Greek,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58260
403,,Venus,"venus genetrix,venus victrix",from_cnt,Female,Deity,Roman,Olympic,,,Aphrodite,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/56979
426,,Vesta,,from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Vesta_person
494,,Via Trajana,via traiana,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/ViaTrajana_person
404,,Victoria,,from_cnt,Female,Deity,Roman,Other,,,Nike,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60915
424,,Victory,victories,from_ocre,Female,Deity,Roman,Personification,,,Nike,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Victory_person
417,,Virtus,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Virtus_person
406,,Vulcanus,vulcan,from_cnt,Male,Deity,Roman,Olympic,,,Hephaestos,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58623
91,,Zeus,zeus epikarpios,"from_cnt,from_it",Male,Deity,Greek,Olympic,,,Iupiter,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub81,Zeus Aetophoros,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub82,Zeus Ammon,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub83,Zeus Anthas,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub84,Zeus Areios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub91,Zeus at Labraunda,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub85,Zeus Basileus,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub86,Zeus Dodonaios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub87,Zeus Homarios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub88,Zeus Ithomatas,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub89,Zeus Karaios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub90,Zeus Keraunos,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub92,Zeus Larasios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub93,Zeus Lydios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub94,Zeus Lykaios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub95,Zeus Monnitios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub96,Zeus Olympios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub97,Zeus Polieus,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub98,Zeus Polioachos,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub99,Zeus Salaminios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub100,Zeus Soter,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
sub101,Zeus Tallaios,Zeus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921
