ID,Title,URI,Findspot
6378,Follis with bust of Maximian I Herculius,http://numismatics.org/ocre/id/ric.6.lug.108b,
6379,Follis (?) with head of Maxentius,http://numismatics.org/ocre/id/ric.6.aq.121a,
184188,Follis with head of Maxentius,http://numismatics.org/ocre/id/ric.6.tic.91,
184228,"Follis with head of Maximinus II Daia, struck under Constantius I Chlorus and Galerius",http://numismatics.org/ocre/id/ric.6.rom.123b,
184220,Antoninianus with bust of Gallienus,http://numismatics.org/ocre/id/ric.5.gall(1).450,
184216,Antoninianus with bust of Florian,http://numismatics.org/ocre/id/ric.5.fl.33,
184215,Antoninianus with bust of Aurelian,http://numismatics.org/ocre/id/ric.5.aur.140,
184214,Antoninianus with bust of Aurelian,http://numismatics.org/ocre/id/ric.5.aur.142,
184212,Antoninianus with bust of Diocletian,http://numismatics.org/ocre/id/ric.5.dio.166,
184210,Follis with head of Diocletian,http://numismatics.org/ocre/id/ric.6.tri.511,
184124,Antoninianus with bust of Gallienus,http://numismatics.org/ocre/id/ric.5.gall(1).159,
184133,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.167A,
184131,Denarius with head of Vespasian,http://numismatics.org/ocre/id/ric.2_1(2).ves.772,
162067,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.86A,
162070,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.540,
184150,Quinarius of British Empire with bust of Allectus,http://numismatics.org/ocre/id/ric.5.all.55,
184247,"Denarius with head of C. Julius Caesar, struck under L. Aemilius Buca",http://numismatics.org/crro/id/rrc-480.4,
184242,Denarius with head of Tiberius,http://numismatics.org/ocre/id/ric.1(2).tib.26,
184241,Antoninianus with bust of Quintillus,http://numismatics.org/ocre/id/ric.5.qu.71,
184280,"Follis with head of Constantius I Chlorus, struck under Diocletian and Maximian I Herculius",http://numismatics.org/ocre/id/ric.6.rom.112a,
184266,"Follis with head of Constantius I Chlorus, struck under Diocletian and Maximian I Herculius",http://numismatics.org/ocre/id/ric.6.alex.15a,
180944,Follis with head of Maximian I Herculius,http://numismatics.org/ocre/id/ric.6.sis.134b,
180935,Antoninianus with bust of Maximian I Herculius,http://numismatics.org/ocre/id/ric.5.dio.506,
180937,Follis with bust of Maximian I Herculius,http://numismatics.org/ocre/id/ric.6.alex.32b,
162046,"Denarius with elephant, struck under C. Julius Caesar",http://numismatics.org/crro/id/rrc-443.1,
162029,"Denarius with head of Sibyl, struck under T. Carisius",http://numismatics.org/crro/id/rrc-464.1,
161980,"Denarius with head of Ancus Marcius, struck under L. Marcius Philippus",http://numismatics.org/crro/id/rrc-425.1,
161981,"Denarius with head of Juno Sospita, struck under L. Roscius Fabatus",http://numismatics.org/crro/id/rrc-412.1,
162068,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.54A,
162069,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.69A,
185331,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.40A,
162119,Aureus with head of Nero,http://numismatics.org/ocre/id/ric.1(2).ner.16,
162187,Denarius with head of Trajan,http://numismatics.org/ocre/id/ric.2.tr.37_denarius,
185689,As (aes grave) with head of Janus,http://numismatics.org/crro/id/rrc-35.1,
162322,"Denarius with head of Diva Faustina I, struck under Antoninus Pius",http://numismatics.org/ocre/id/ric.3.ant.384a_denarius,
185893,Dupondius with bust of Galba,http://numismatics.org/ocre/id/ric.1(2).gal.287,
